tribal_name,year,ff_days,near_thresh_days,temp_mean,temp_max,rh_mean,rh_min,wind_mean,wind_max,bi_mean,bi_max,criteria_mean
Choctaw,2009,0,0,80.31728260869569,99.59000000000002,50.2054347826087,12.700000000000001,10.190234282608698,21.027236000000002,15.440217391304348,46.0,0.7391304347826086
Choctaw,2010,0,3,87.32260869565222,104.27000000000007,41.013043478260876,10.9,10.089328836956524,22.816788000000003,25.60326086956522,59.0,1.0434782608695652
Choctaw,2011,11,42,93.82608695652178,113.45,25.447826086956525,5.0,11.588321782608697,26.84328,36.33152173913044,84.0,1.9945652173913044
Choctaw,2012,1,24,91.32760869565223,112.01000000000008,30.70163043478261,10.100000000000001,10.585345967391305,22.593094000000004,30.456521739130434,70.0,1.548913043478261
Choctaw,2013,0,5,89.59804347826092,108.05,33.40869565217392,14.600000000000001,10.174429815217392,23.48787,27.869565217391305,55.0,1.2771739130434783
Choctaw,2014,2,13,82.72673913043482,95.81000000000009,40.971739130434784,9.8,10.640053739130437,23.935258000000005,29.10326086956522,71.0,1.1032608695652173
Choctaw,2015,0,0,85.05793478260874,103.01000000000008,49.13532608695652,11.200000000000001,9.666255402173913,20.356154,20.51086956521739,53.0,0.8369565217391305
Choctaw,2016,0,0,85.41108695652179,99.05,49.82608695652174,22.6,9.729473271739131,20.579848000000005,19.98913043478261,48.0,0.875
Choctaw,2017,0,1,83.25793478260874,94.73000000000005,46.446739130434786,14.100000000000001,9.939794260869565,21.027236000000002,24.793478260869566,51.0,0.967391304347826
Choctaw,2018,0,2,84.791847826087,106.25,49.22391304347826,19.5,9.548329760869565,20.803542000000004,22.559782608695652,54.0,0.8586956521739131
Choctaw,2019,0,0,83.76956521739135,99.41000000000008,53.16684782608696,22.0,9.942225717391306,20.132460000000002,18.375,41.0,0.8586956521739131
Choctaw,2020,0,0,82.33445652173917,97.25,51.52173913043478,23.5,9.54103539130435,18.342908000000005,20.858695652173914,43.0,0.7880434782608695
Choctaw,2021,0,1,84.13250000000004,97.43000000000004,49.68260869565218,20.1,9.666255402173913,25.72481,19.994565217391305,57.0,0.8206521739130435
Choctaw,2022,0,11,87.56521739130439,105.53000000000004,38.56902173913044,8.4,10.112427673913045,23.935258000000005,30.402173913043477,76.0,1.2554347826086956
Choctaw,2023,0,2,86.02445652173917,105.53000000000004,45.35217391304349,16.400000000000002,9.055959815217392,19.01399,22.42391304347826,58.0,0.9347826086956522
Choctaw,2024,0,7,86.56152173913047,100.49000000000002,43.42065217391305,10.5,9.53617247826087,24.830034000000005,27.657608695652176,77.0,1.108695652173913
Colville,2000,0,79,74.19581521739134,101.03000000000004,24.177445652173915,10.0,7.543593858695653,17.000744,42.546195652173914,85.0,1.377717391304348
Colville,2001,0,87,75.57076086956526,103.37000000000006,25.02527173913044,9.0,7.814701260869566,21.25093,44.11141304347826,81.0,1.4918478260869565
Colville,2002,0,96,75.3614130434783,102.29000000000002,23.459782608695654,10.100000000000001,7.560614054347826,16.553356,47.85326086956522,86.0,1.5434782608695652
Colville,2003,0,126,77.68527173913047,103.37000000000006,24.10896739130435,7.4,7.789170967391305,20.356154,47.96195652173913,85.0,1.6684782608695652
Colville,2004,0,57,75.9860326086957,102.29000000000002,28.25842391304348,11.9,7.579457842391305,16.105968,35.55434782608695,78.0,1.0326086956521738
Colville,2005,0,80,75.11244565217396,97.61000000000008,28.05896739130435,7.4,7.3448222880434795,14.316416000000002,37.54347826086956,81.0,1.1576086956521738
Colville,2006,0,84,76.61065217391308,103.91000000000008,26.932608695652174,9.4,6.991045364130436,15.211192000000002,39.45923913043478,92.0,1.266304347826087
Colville,2007,0,95,74.2589130434783,102.11000000000008,26.310869565217395,7.7,7.74905193478261,15.211192000000002,45.91032608695652,85.0,1.4021739130434783
Colville,2008,0,86,74.30733695652178,103.01000000000008,24.294021739130436,9.9,7.846310195652175,18.566602000000003,45.77173913043478,94.0,1.4646739130434783
Colville,2009,0,99,75.03663043478265,99.77000000000007,24.15108695652174,6.7,7.843270875000001,21.474624000000006,43.807065217391305,86.0,1.5543478260869565
Colville,2010,2,57,72.16543478260874,96.53000000000004,30.454076086956523,9.200000000000001,7.428099673913045,24.158952000000003,33.92391304347826,94.0,1.016304347826087
Colville,2011,1,76,74.44820652173917,98.33000000000004,26.567934782608695,5.5,7.512592788043479,15.65858,39.22282608695652,78.0,1.236413043478261
Colville,2012,0,62,76.19538043478265,101.57000000000006,25.363586956521743,6.2,7.448767054347827,20.132460000000002,40.546195652173914,76.0,1.4157608695652173
Colville,2013,0,71,76.62190217391309,103.01000000000008,27.211141304347827,8.8,7.094382266304349,20.803542000000004,37.10597826086956,72.0,1.2445652173913044
Colville,2014,0,75,76.65418478260874,101.93000000000004,28.386956521739133,7.6000000000000005,7.364273940217392,18.119214,38.38586956521739,86.0,1.2853260869565217
Colville,2015,0,126,78.01641304347831,105.17000000000006,24.782608695652176,5.9,7.134501298913045,15.434886000000002,46.27445652173913,84.0,1.6494565217391304
Colville,2016,0,46,73.69298913043482,99.23000000000005,30.812771739130437,9.4,7.473689483695653,22.816788000000003,36.046195652173914,80.0,1.0217391304347827
Colville,2017,0,108,76.04913043478265,100.31000000000009,27.400543478260875,10.4,7.05000818478261,18.342908000000005,43.15489130434783,74.0,1.440217391304348
Colville,2018,0,67,75.68375000000005,102.29000000000002,27.383695652173916,9.1,7.0074576956521755,16.329662000000003,41.328804347826086,80.0,1.1956521739130435
Colville,2019,0,57,73.15543478260874,100.49000000000002,29.57581521739131,10.600000000000001,7.392235690217392,15.882274000000002,36.57336956521739,78.0,1.0951086956521738
Colville,2020,0,90,75.04445652173918,103.19000000000003,28.26603260869565,10.0,7.647538625000001,16.777050000000003,41.46195652173913,86.0,1.2744565217391304
Colville,2021,0,108,76.75054347826091,109.49000000000002,27.098913043478266,9.8,7.535083760869567,16.329662000000003,44.17391304347826,76.0,1.4456521739130435
Colville,2022,0,66,76.65369565217395,103.55,28.846467391304348,8.4,7.0980294510869575,17.224438000000003,37.25271739130435,76.0,1.1168478260869565
Colville,2023,0,100,76.6155434782609,105.17000000000006,27.638043478260872,7.800000000000001,6.77039068478261,15.211192000000002,39.54347826086956,86.0,1.3342391304347827
Colville,2024,1,88,76.39885869565221,103.55,26.53125,10.5,7.605596000000001,17.89552,44.5,81.0,1.4157608695652173
Creek,2000,1,2,86.8559782608696,108.41000000000008,44.54130434782609,11.8,9.367186250000001,21.474624000000006,23.972826086956523,61.0,0.9510869565217391
Creek,2001,0,1,86.50967391304353,104.63000000000004,44.26739130434783,17.5,9.20671011956522,21.474624000000006,23.891304347826086,51.0,0.8369565217391305
Creek,2002,0,4,83.83217391304352,99.95,44.21141304347827,18.3,9.494837717391306,21.922012000000002,24.402173913043477,57.0,0.8695652173913043
Creek,2003,0,0,85.95793478260873,106.43000000000004,44.55815217391305,20.3,8.636533565217391,19.237684,20.652173913043477,49.0,0.8315217391304348
Creek,2004,0,0,83.55630434782613,98.51000000000008,47.830978260869564,19.400000000000002,9.76351366304348,19.685072,20.902173913043477,49.0,0.8369565217391305
Creek,2005,0,0,86.93130434782613,105.53000000000004,44.261413043478264,17.8,8.693672793478262,16.777050000000003,21.13586956521739,48.0,0.8804347826086957
Creek,2006,2,7,87.671847826087,106.79000000000002,34.1,16.400000000000002,9.531309565217393,21.027236000000002,28.07608695652174,61.0,1.065217391304348
Creek,2007,0,0,84.39858695652178,99.59000000000002,50.64782608695653,25.200000000000003,8.511313554347828,19.908766000000004,16.657608695652176,45.0,0.8260869565217391
Creek,2008,0,3,85.09804347826092,103.37000000000006,45.77445652173913,19.6,9.576291510869567,26.395892000000003,22.369565217391305,60.0,0.8967391304347826
Creek,2009,0,1,82.49293478260874,103.55,45.57608695652174,11.700000000000001,9.45593441304348,19.237684,18.51086956521739,50.0,0.7771739130434783
Creek,2010,0,6,88.26760869565221,104.99000000000002,39.707608695652176,10.4,9.65166666304348,19.908766000000004,28.61413043478261,57.0,1.1467391304347827
Creek,2011,9,56,93.59423913043483,113.45,26.184782608695652,5.7,10.65707393478261,25.72481,37.07065217391305,80.0,1.891304347826087
Creek,2012,3,54,92.36456521739136,114.89000000000001,27.995652173913047,6.2,10.178077000000002,21.698318000000004,38.233695652173914,73.0,1.809782608695652
Creek,2013,1,11,89.23706521739133,109.31000000000009,33.96086956521739,12.3,9.623704913043479,23.711564000000006,28.032608695652176,56.0,1.315217391304348
Creek,2014,3,25,83.96423913043482,99.41000000000008,38.80978260869565,7.5,10.03948397826087,24.382646,33.125,90.0,1.2554347826086956
Creek,2015,0,1,84.40445652173916,100.49000000000002,51.04510869565218,14.3,8.903993782608696,18.790296,20.891304347826086,57.0,0.7880434782608695
Creek,2016,0,1,86.82956521739135,100.49000000000002,45.577717391304354,20.6,9.500916358695653,20.356154,23.26086956521739,50.0,0.9239130434782609
Creek,2017,0,0,84.46510869565222,100.85,44.789130434782614,16.1,9.068117097826088,18.790296,24.304347826086957,47.0,0.8586956521739131
Creek,2018,0,1,85.76913043478265,107.33000000000004,47.14891304347826,14.100000000000001,8.955054369565218,19.685072,21.934782608695652,55.0,0.8804347826086957
Creek,2019,0,0,84.566847826087,101.75,51.102717391304346,18.900000000000002,9.578722967391306,18.790296,18.994565217391305,44.0,0.875
Creek,2020,0,0,82.969347826087,99.23000000000005,48.83641304347826,16.3,9.248044880434783,17.224438000000003,20.902173913043477,50.0,0.7934782608695652
Creek,2021,1,2,85.32206521739134,99.95,46.49673913043478,14.100000000000001,9.190905652173914,25.053728000000003,22.73913043478261,59.0,0.875
Creek,2022,0,9,88.05532608695657,108.05,37.70652173913044,9.0,9.277222358695653,23.48787,30.793478260869566,79.0,1.2445652173913044
