route_id,name,route_type,total_km,high_risk_km,moderate_risk_km,high_risk_pct,moderate_risk_pct,vulnerability_score,capacity_vph
RTE_0134,RTE_0134,Secondary,1.2,0.0,0.0,0.0,0.0,0.0,400
RTE_0135,North Chief Avenue,Secondary,0.53,0.0,0.0,0.0,0.0,0.0,400
RTE_0136,North Chief Avenue,Secondary,0.84,0.0,0.0,0.0,0.0,0.0,400
RTE_0137,Bourdon Ranch Road,Secondary,3.8,0.0,0.0,0.0,0.0,0.0,400
RTE_0138,Show Low-Springerville-East Highway,Primary,7.71,0.0,0.0,0.0,0.0,0.0,1200
RTE_0139,Show Low-Springerville-East Highway,Primary,3.52,0.0,0.0,0.0,0.0,0.0,1200
RTE_0140,North Chief Avenue,Secondary,1.28,0.0,1.28,0.0,100.0,100.0,400
RTE_0141,North Chief Avenue,Secondary,0.94,0.0,0.03,0.0,3.3,3.3,400
RTE_0142,Penrod Road,Secondary,0.2,0.0,0.0,0.0,0.0,0.0,400
RTE_0143,Penrod Road,Secondary,0.69,0.0,0.0,0.0,0.0,0.0,400
RTE_0144,Penrod Road,Secondary,0.24,0.0,0.0,0.0,0.0,0.0,400
RTE_0145,Penrod Road,Secondary,0.2,0.0,0.0,0.0,0.0,0.0,400
RTE_0146,South White Mountain Road,Primary,0.47,0.0,0.0,0.0,0.0,0.0,1200
RTE_0147,South White Mountain Road,Primary,0.13,0.0,0.0,0.0,0.0,0.0,1200
RTE_0148,North Chief Avenue,Secondary,0.94,0.0,0.03,0.0,3.3,3.3,400
RTE_0149,North Chief Avenue,Secondary,0.49,0.0,0.0,0.0,0.0,0.0,400
RTE_0150,Old Highway 160,Secondary,0.08,0.0,0.0,0.0,0.0,0.0,400
RTE_0151,RTE_0151,Secondary,0.11,0.0,0.0,0.0,0.0,0.0,400
RTE_0152,West White Mountain Boulevard,Primary,0.14,0.0,0.0,0.0,0.0,0.0,1200
RTE_0153,West White Mountain Boulevard,Primary,0.84,0.0,0.0,0.0,0.0,0.0,1200
RTE_0154,East White Mountain Boulevard,Primary,0.53,0.0,0.0,0.0,0.0,0.0,1200
RTE_0155,East White Mountain Boulevard,Primary,0.28,0.0,0.0,0.0,0.0,0.0,1200
RTE_0156,North Chief Avenue,Secondary,0.24,0.0,0.24,0.0,100.0,100.0,400
RTE_0157,North Chief Avenue,Secondary,0.88,0.0,0.88,0.0,100.0,100.0,400
RTE_0158,West White Mountain Boulevard,Primary,0.25,0.0,0.0,0.0,0.0,0.0,1200
RTE_0159,West White Mountain Boulevard,Primary,0.78,0.0,0.0,0.0,0.0,0.0,1200
RTE_0160,West White Mountain Boulevard,Primary,0.16,0.0,0.0,0.0,0.0,0.0,1200
RTE_0161,West White Mountain Boulevard,Primary,0.25,0.0,0.0,0.0,0.0,0.0,1200
RTE_0162,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0163,West White Mountain Boulevard,Primary,0.16,0.0,0.0,0.0,0.0,0.0,1200
RTE_0164,West White Mountain Boulevard,Primary,0.84,0.0,0.0,0.0,0.0,0.0,1200
RTE_0165,West White Mountain Boulevard,Primary,0.47,0.0,0.0,0.0,0.0,0.0,1200
RTE_0166,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0167,West White Mountain Boulevard,Primary,0.14,0.0,0.0,0.0,0.0,0.0,1200
RTE_0168,West White Mountain Boulevard,Primary,0.16,0.0,0.0,0.0,0.0,0.0,1200
RTE_0169,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0170,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0171,West White Mountain Boulevard,Primary,0.16,0.0,0.0,0.0,0.0,0.0,1200
RTE_0172,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0173,West White Mountain Boulevard,Primary,0.06,0.0,0.0,0.0,0.0,0.0,1200
RTE_0174,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0175,West White Mountain Boulevard,Primary,0.24,0.0,0.0,0.0,0.0,0.0,1200
RTE_0176,Porter Mountain Road,Secondary,0.29,0.0,0.0,0.0,0.0,0.0,400
RTE_0177,West White Mountain Boulevard,Primary,0.25,0.0,0.0,0.0,0.0,0.0,1200
RTE_0178,West White Mountain Boulevard,Primary,0.24,0.0,0.0,0.0,0.0,0.0,1200
RTE_0179,West White Mountain Boulevard,Primary,0.65,0.0,0.0,0.0,0.0,0.0,1200
RTE_0180,West White Mountain Boulevard,Primary,0.25,0.0,0.0,0.0,0.0,0.0,1200
RTE_0181,West White Mountain Boulevard,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0182,West White Mountain Boulevard,Primary,0.26,0.0,0.0,0.0,0.0,0.0,1200
RTE_0183,West White Mountain Boulevard,Primary,0.03,0.0,0.0,0.0,0.0,0.0,1200
RTE_0184,West White Mountain Boulevard,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0185,West White Mountain Boulevard,Primary,0.03,0.0,0.0,0.0,0.0,0.0,1200
RTE_0186,West White Mountain Boulevard,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0187,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0188,West White Mountain Boulevard,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0189,West White Mountain Boulevard,Primary,0.04,0.0,0.0,0.0,0.0,0.0,1200
RTE_0190,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0191,West White Mountain Boulevard,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0192,West White Mountain Boulevard,Primary,0.04,0.0,0.0,0.0,0.0,0.0,1200
RTE_0193,West White Mountain Boulevard,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0194,West White Mountain Boulevard,Primary,0.43,0.0,0.0,0.0,0.0,0.0,1200
RTE_0195,West White Mountain Boulevard,Primary,0.39,0.0,0.0,0.0,0.0,0.0,1200
RTE_0196,West White Mountain Boulevard,Primary,0.43,0.0,0.0,0.0,0.0,0.0,1200
RTE_0197,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0198,West White Mountain Boulevard,Primary,0.39,0.0,0.0,0.0,0.0,0.0,1200
RTE_0199,West White Mountain Boulevard,Primary,0.14,0.0,0.0,0.0,0.0,0.0,1200
RTE_0200,West White Mountain Boulevard,Primary,0.02,0.0,0.0,0.0,0.0,0.0,1200
RTE_0201,West White Mountain Boulevard,Primary,0.02,0.0,0.0,0.0,0.0,0.0,1200
RTE_0202,West White Mountain Boulevard,Primary,0.31,0.0,0.0,0.0,0.0,0.0,1200
RTE_0203,West White Mountain Boulevard,Primary,0.21,0.0,0.0,0.0,0.0,0.0,1200
RTE_0204,West White Mountain Boulevard,Primary,0.31,0.0,0.0,0.0,0.0,0.0,1200
RTE_0205,West White Mountain Boulevard,Primary,0.22,0.0,0.0,0.0,0.0,0.0,1200
RTE_0206,West White Mountain Boulevard,Primary,0.21,0.0,0.0,0.0,0.0,0.0,1200
RTE_0207,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0208,West White Mountain Boulevard,Primary,0.22,0.0,0.0,0.0,0.0,0.0,1200
RTE_0209,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0210,West White Mountain Boulevard,Primary,0.44,0.0,0.0,0.0,0.0,0.0,1200
RTE_0211,West White Mountain Boulevard,Primary,0.27,0.0,0.0,0.0,0.0,0.0,1200
RTE_0212,West White Mountain Boulevard,Primary,0.44,0.0,0.0,0.0,0.0,0.0,1200
RTE_0213,West White Mountain Boulevard,Primary,0.32,0.0,0.0,0.0,0.0,0.0,1200
RTE_0214,West White Mountain Boulevard,Primary,0.14,0.0,0.0,0.0,0.0,0.0,1200
RTE_0215,West White Mountain Boulevard,Primary,0.03,0.0,0.0,0.0,0.0,0.0,1200
RTE_0216,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0217,West White Mountain Boulevard,Primary,0.13,0.0,0.0,0.0,0.0,0.0,1200
RTE_0218,West White Mountain Boulevard,Primary,0.17,0.0,0.0,0.0,0.0,0.0,1200
RTE_0219,West White Mountain Boulevard,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0220,West White Mountain Boulevard,Primary,0.06,0.0,0.0,0.0,0.0,0.0,1200
RTE_0221,West White Mountain Boulevard,Primary,0.13,0.0,0.0,0.0,0.0,0.0,1200
RTE_0222,West White Mountain Boulevard,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0223,West White Mountain Boulevard,Primary,0.01,0.0,0.0,0.0,0.0,0.0,1200
RTE_0224,West White Mountain Boulevard,Primary,0.13,0.0,0.0,0.0,0.0,0.0,1200
RTE_0225,West White Mountain Boulevard,Primary,0.19,0.0,0.0,0.0,0.0,0.0,1200
RTE_0226,West White Mountain Boulevard,Primary,0.18,0.0,0.0,0.0,0.0,0.0,1200
RTE_0227,West White Mountain Boulevard,Primary,0.19,0.0,0.0,0.0,0.0,0.0,1200
RTE_0228,West White Mountain Boulevard,Primary,0.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0229,West White Mountain Boulevard,Primary,0.27,0.0,0.0,0.0,0.0,0.0,1200
RTE_0230,West White Mountain Boulevard,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0231,Pinedale Road,Secondary,0.09,0.0,0.0,0.0,0.0,0.0,400
RTE_0232,Pinedale Road,Secondary,0.15,0.0,0.0,0.0,0.0,0.0,400
RTE_0233,Pinedale Road,Secondary,0.14,0.0,0.0,0.0,0.0,0.0,400
RTE_0234,Pinedale Road,Secondary,0.22,0.0,0.0,0.0,0.0,0.0,400
RTE_0235,East Deuce of Clubs,Primary,0.07,0.0,0.0,0.0,0.0,0.0,1200
RTE_0236,East Deuce of Clubs,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0237,North White Mountain Road,Primary,0.15,0.0,0.0,0.0,0.0,0.0,1200
RTE_0238,North White Mountain Road,Primary,0.16,0.0,0.0,0.0,0.0,0.0,1200
RTE_0239,Payson-Show Low Highway,Primary,0.2,0.0,0.0,0.0,0.0,0.0,1200
RTE_0240,Payson-Show Low Highway,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0241,North Penrod Road,Primary,0.64,0.0,0.0,0.0,0.0,0.0,1200
RTE_0242,North Penrod Road,Primary,4.27,0.0,0.0,0.0,0.0,0.0,1200
RTE_0243,Payson-Show Low Highway,Primary,0.37,0.0,0.0,0.0,0.0,0.0,1200
RTE_0244,Payson-Show Low Highway,Primary,1.2,0.0,0.0,0.0,0.0,0.0,1200
RTE_0245,Payson-Show Low Highway,Primary,0.32,0.0,0.0,0.0,0.0,0.0,1200
RTE_0246,Payson-Show Low Highway,Primary,0.04,0.0,0.0,0.0,0.0,0.0,1200
RTE_0247,Payson-Show Low Highway,Primary,0.19,0.0,0.0,0.0,0.0,0.0,1200
RTE_0248,Payson-Show Low Highway,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0249,Payson-Show Low Highway,Primary,0.22,0.0,0.0,0.0,0.0,0.0,1200
RTE_0250,Payson-Show Low Highway,Primary,0.8,0.0,0.0,0.0,0.0,0.0,1200
RTE_0251,Payson-Show Low Highway,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0252,Payson-Show Low Highway,Primary,0.48,0.0,0.0,0.0,0.0,0.0,1200
RTE_0253,Payson-Show Low Highway,Primary,0.1,0.0,0.0,0.0,0.0,0.0,1200
RTE_0254,Payson-Show Low Highway,Primary,0.22,0.0,0.0,0.0,0.0,0.0,1200
RTE_0255,Payson-Show Low Highway,Primary,0.2,0.0,0.0,0.0,0.0,0.0,1200
RTE_0256,Payson-Show Low Highway,Primary,0.26,0.0,0.0,0.0,0.0,0.0,1200
RTE_0257,Payson-Show Low Highway,Primary,0.22,0.0,0.0,0.0,0.0,0.0,1200
RTE_0258,Payson-Show Low Highway,Primary,0.12,0.0,0.0,0.0,0.0,0.0,1200
RTE_0259,Lone Pine Dam Road,Secondary,0.04,0.0,0.0,0.0,0.0,0.0,400
RTE_0260,Payson-Show Low Highway,Primary,0.47,0.0,0.0,0.0,0.0,0.0,1200
RTE_0261,Payson-Show Low Highway,Primary,0.22,0.0,0.0,0.0,0.0,0.0,1200
RTE_0262,Payson-Show Low Highway,Primary,0.08,0.0,0.0,0.0,0.0,0.0,1200
RTE_0263,Payson-Show Low Highway,Primary,0.47,0.0,0.0,0.0,0.0,0.0,1200
RTE_0264,Payson-Show Low Highway,Primary,0.08,0.0,0.0,0.0,0.0,0.0,1200
RTE_0265,Payson-Show Low Highway,Primary,0.5,0.0,0.0,0.0,0.0,0.0,1200
RTE_0266,North Clark Road,Primary,0.67,0.0,0.0,0.0,0.0,0.0,1200
RTE_0267,Payson-Show Low Highway,Primary,0.26,0.0,0.0,0.0,0.0,0.0,1200
RTE_0268,South White Mountain Road,Primary,1.11,0.0,0.0,0.0,0.0,0.0,1200
RTE_0269,South White Mountain Road,Primary,0.47,0.0,0.0,0.0,0.0,0.0,1200
RTE_0270,Globe-Show Low Highway,Primary,0.26,0.0,0.0,0.0,0.0,0.0,1200
RTE_0271,Globe-Show Low Highway,Primary,0.67,0.0,0.0,0.0,0.0,0.0,1200
RTE_0272,Old Highway 160,Secondary,0.07,0.0,0.0,0.0,0.0,0.0,400
RTE_0273,Old Highway 160,Secondary,0.17,0.0,0.0,0.0,0.0,0.0,400
RTE_0274,Lone Pine Dam Road,Secondary,0.09,0.0,0.0,0.0,0.0,0.0,400
RTE_0275,Lone Pine Dam Road,Secondary,0.02,0.0,0.0,0.0,0.0,0.0,400
RTE_0276,East Deuce of Clubs,Primary,0.06,0.0,0.0,0.0,0.0,0.0,1200
RTE_0277,East Deuce of Clubs,Primary,0.16,0.0,0.0,0.0,0.0,0.0,1200
